STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,COUNTERPART_AREA,Counterpart area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,VISITOR_TYPE,Visitor type,ACCOMMODATION_TYPE,Accommodation type,SOURCE,Source,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,OBS_STATUS2,Observation status 2,UNIT_MULT,Unit multiplier
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_INTER@DF_INBOUND(1.0),Inbound tourism,I,BEL,Belgium,_Z,Not applicable,NIGHTS_ACCOM,Nights spent in tourism accommodation establishments,NGHT,Nights,_T,All visitors (overnight and same-day),HOTELS,Hotels and similar establishments,TSS,Tourism supply surveys,2011,,11436408,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_INTER@DF_INBOUND(1.0),Inbound tourism,I,BEL,Belgium,_Z,Not applicable,NIGHTS_ACCOM,Nights spent in tourism accommodation establishments,NGHT,Nights,_T,All visitors (overnight and same-day),HOTELS,Hotels and similar establishments,TSS,Tourism supply surveys,2012,,11546413,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_INTER@DF_INBOUND(1.0),Inbound tourism,I,BEL,Belgium,_Z,Not applicable,NIGHTS_ACCOM,Nights spent in tourism accommodation establishments,NGHT,Nights,_T,All visitors (overnight and same-day),HOTELS,Hotels and similar establishments,TSS,Tourism supply surveys,2013,,11624497,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_INTER@DF_INBOUND(1.0),Inbound tourism,I,BEL,Belgium,_Z,Not applicable,NIGHTS_ACCOM,Nights spent in tourism accommodation establishments,NGHT,Nights,_T,All visitors (overnight and same-day),HOTELS,Hotels and similar establishments,TSS,Tourism supply surveys,2014,,12081835,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_INTER@DF_INBOUND(1.0),Inbound tourism,I,BEL,Belgium,_Z,Not applicable,NIGHTS_ACCOM,Nights spent in tourism accommodation establishments,NGHT,Nights,_T,All visitors (overnight and same-day),HOTELS,Hotels and similar establishments,TSS,Tourism supply surveys,2016,,10215070,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_INTER@DF_INBOUND(1.0),Inbound tourism,I,BEL,Belgium,_Z,Not applicable,NIGHTS_ACCOM,Nights spent in tourism accommodation establishments,NGHT,Nights,_T,All visitors (overnight and same-day),HOTELS,Hotels and similar establishments,TSS,Tourism supply surveys,2017,,11631915,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_INTER@DF_INBOUND(1.0),Inbound tourism,I,BEL,Belgium,_Z,Not applicable,NIGHTS_ACCOM,Nights spent in tourism accommodation establishments,NGHT,Nights,_T,All visitors (overnight and same-day),HOTELS,Hotels and similar establishments,TSS,Tourism supply surveys,2018,,12424475,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_INTER@DF_INBOUND(1.0),Inbound tourism,I,BEL,Belgium,_Z,Not applicable,NIGHTS_ACCOM,Nights spent in tourism accommodation establishments,NGHT,Nights,_T,All visitors (overnight and same-day),HOTELS,Hotels and similar establishments,TSS,Tourism supply surveys,2019,,12669022,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_INTER@DF_INBOUND(1.0),Inbound tourism,I,BEL,Belgium,_Z,Not applicable,NIGHTS_ACCOM,Nights spent in tourism accommodation establishments,NGHT,Nights,_T,All visitors (overnight and same-day),HOTELS,Hotels and similar establishments,TSS,Tourism supply surveys,2020,,3479658,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_INTER@DF_INBOUND(1.0),Inbound tourism,I,BEL,Belgium,_Z,Not applicable,NIGHTS_ACCOM,Nights spent in tourism accommodation establishments,NGHT,Nights,_T,All visitors (overnight and same-day),HOTELS,Hotels and similar establishments,TSS,Tourism supply surveys,2021,,4341195,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_INTER@DF_INBOUND(1.0),Inbound tourism,I,BEL,Belgium,_Z,Not applicable,NIGHTS_ACCOM,Nights spent in tourism accommodation establishments,NGHT,Nights,_T,All visitors (overnight and same-day),HOTELS,Hotels and similar establishments,TSS,Tourism supply surveys,2022,,10915837,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_INTER@DF_INBOUND(1.0),Inbound tourism,I,BE1,Brussels-Capital Region,_Z,Not applicable,NIGHTS_ACCOM,Nights spent in tourism accommodation establishments,NGHT,Nights,_T,All visitors (overnight and same-day),HOTELS,Hotels and similar establishments,TSS,Tourism supply surveys,2008,,4281314,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_INTER@DF_INBOUND(1.0),Inbound tourism,I,BE1,Brussels-Capital Region,_Z,Not applicable,NIGHTS_ACCOM,Nights spent in tourism accommodation establishments,NGHT,Nights,_T,All visitors (overnight and same-day),HOTELS,Hotels and similar establishments,TSS,Tourism supply surveys,2009,,4087419,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_INTER@DF_INBOUND(1.0),Inbound tourism,I,BE1,Brussels-Capital Region,_Z,Not applicable,NIGHTS_ACCOM,Nights spent in tourism accommodation establishments,NGHT,Nights,_T,All visitors (overnight and same-day),HOTELS,Hotels and similar establishments,TSS,Tourism supply surveys,2010,,4242341,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_INTER@DF_INBOUND(1.0),Inbound tourism,I,BE1,Brussels-Capital Region,_Z,Not applicable,NIGHTS_ACCOM,Nights spent in tourism accommodation establishments,NGHT,Nights,_T,All visitors (overnight and same-day),HOTELS,Hotels and similar establishments,TSS,Tourism supply surveys,2011,,4499311,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_INTER@DF_INBOUND(1.0),Inbound tourism,I,BE1,Brussels-Capital Region,_Z,Not applicable,NIGHTS_ACCOM,Nights spent in tourism accommodation establishments,NGHT,Nights,_T,All visitors (overnight and same-day),HOTELS,Hotels and similar establishments,TSS,Tourism supply surveys,2012,,4592817,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_INTER@DF_INBOUND(1.0),Inbound tourism,I,BE1,Brussels-Capital Region,_Z,Not applicable,NIGHTS_ACCOM,Nights spent in tourism accommodation establishments,NGHT,Nights,_T,All visitors (overnight and same-day),HOTELS,Hotels and similar establishments,TSS,Tourism supply surveys,2013,,4771553,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_INTER@DF_INBOUND(1.0),Inbound tourism,I,BE1,Brussels-Capital Region,_Z,Not applicable,NIGHTS_ACCOM,Nights spent in tourism accommodation establishments,NGHT,Nights,_T,All visitors (overnight and same-day),HOTELS,Hotels and similar establishments,TSS,Tourism supply surveys,2014,,5057826,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_INTER@DF_INBOUND(1.0),Inbound tourism,I,BE1,Brussels-Capital Region,_Z,Not applicable,NIGHTS_ACCOM,Nights spent in tourism accommodation establishments,NGHT,Nights,_T,All visitors (overnight and same-day),HOTELS,Hotels and similar establishments,TSS,Tourism supply surveys,2016,,3962215,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_INTER@DF_INBOUND(1.0),Inbound tourism,I,BE1,Brussels-Capital Region,_Z,Not applicable,NIGHTS_ACCOM,Nights spent in tourism accommodation establishments,NGHT,Nights,_T,All visitors (overnight and same-day),HOTELS,Hotels and similar establishments,TSS,Tourism supply surveys,2017,,4771583,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_INTER@DF_INBOUND(1.0),Inbound tourism,I,BE1,Brussels-Capital Region,_Z,Not applicable,NIGHTS_ACCOM,Nights spent in tourism accommodation establishments,NGHT,Nights,_T,All visitors (overnight and same-day),HOTELS,Hotels and similar establishments,TSS,Tourism supply surveys,2018,,5253811,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_INTER@DF_INBOUND(1.0),Inbound tourism,I,BE1,Brussels-Capital Region,_Z,Not applicable,NIGHTS_ACCOM,Nights spent in tourism accommodation establishments,NGHT,Nights,_T,All visitors (overnight and same-day),HOTELS,Hotels and similar establishments,TSS,Tourism supply surveys,2019,,5510969,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_INTER@DF_INBOUND(1.0),Inbound tourism,I,BE1,Brussels-Capital Region,_Z,Not applicable,NIGHTS_ACCOM,Nights spent in tourism accommodation establishments,NGHT,Nights,_T,All visitors (overnight and same-day),HOTELS,Hotels and similar establishments,TSS,Tourism supply surveys,2020,,1218953,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_INTER@DF_INBOUND(1.0),Inbound tourism,I,BE1,Brussels-Capital Region,_Z,Not applicable,NIGHTS_ACCOM,Nights spent in tourism accommodation establishments,NGHT,Nights,_T,All visitors (overnight and same-day),HOTELS,Hotels and similar establishments,TSS,Tourism supply surveys,2021,,1530369,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_INTER@DF_INBOUND(1.0),Inbound tourism,I,BE1,Brussels-Capital Region,_Z,Not applicable,NIGHTS_ACCOM,Nights spent in tourism accommodation establishments,NGHT,Nights,_T,All visitors (overnight and same-day),HOTELS,Hotels and similar establishments,TSS,Tourism supply surveys,2022,,4496900,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_INTER@DF_INBOUND(1.0),Inbound tourism,I,BE2,Flemish Region,_Z,Not applicable,NIGHTS_ACCOM,Nights spent in tourism accommodation establishments,NGHT,Nights,_T,All visitors (overnight and same-day),HOTELS,Hotels and similar establishments,TSS,Tourism supply surveys,2008,,5433038,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_INTER@DF_INBOUND(1.0),Inbound tourism,I,BE2,Flemish Region,_Z,Not applicable,NIGHTS_ACCOM,Nights spent in tourism accommodation establishments,NGHT,Nights,_T,All visitors (overnight and same-day),HOTELS,Hotels and similar establishments,TSS,Tourism supply surveys,2009,,4951500,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_INTER@DF_INBOUND(1.0),Inbound tourism,I,BE2,Flemish Region,_Z,Not applicable,NIGHTS_ACCOM,Nights spent in tourism accommodation establishments,NGHT,Nights,_T,All visitors (overnight and same-day),HOTELS,Hotels and similar establishments,TSS,Tourism supply surveys,2010,,5248159,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_INTER@DF_INBOUND(1.0),Inbound tourism,I,BE2,Flemish Region,_Z,Not applicable,NIGHTS_ACCOM,Nights spent in tourism accommodation establishments,NGHT,Nights,_T,All visitors (overnight and same-day),HOTELS,Hotels and similar establishments,TSS,Tourism supply surveys,2011,,5521537,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_INTER@DF_INBOUND(1.0),Inbound tourism,I,BE2,Flemish Region,_Z,Not applicable,NIGHTS_ACCOM,Nights spent in tourism accommodation establishments,NGHT,Nights,_T,All visitors (overnight and same-day),HOTELS,Hotels and similar establishments,TSS,Tourism supply surveys,2012,,5554301,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_INTER@DF_INBOUND(1.0),Inbound tourism,I,BE2,Flemish Region,_Z,Not applicable,NIGHTS_ACCOM,Nights spent in tourism accommodation establishments,NGHT,Nights,_T,All visitors (overnight and same-day),HOTELS,Hotels and similar establishments,TSS,Tourism supply surveys,2013,,5509264,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_INTER@DF_INBOUND(1.0),Inbound tourism,I,BE2,Flemish Region,_Z,Not applicable,NIGHTS_ACCOM,Nights spent in tourism accommodation establishments,NGHT,Nights,_T,All visitors (overnight and same-day),HOTELS,Hotels and similar establishments,TSS,Tourism supply surveys,2014,,5647146,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_INTER@DF_INBOUND(1.0),Inbound tourism,I,BE2,Flemish Region,_Z,Not applicable,NIGHTS_ACCOM,Nights spent in tourism accommodation establishments,NGHT,Nights,_T,All visitors (overnight and same-day),HOTELS,Hotels and similar establishments,TSS,Tourism supply surveys,2016,,5023217,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_INTER@DF_INBOUND(1.0),Inbound tourism,I,BE2,Flemish Region,_Z,Not applicable,NIGHTS_ACCOM,Nights spent in tourism accommodation establishments,NGHT,Nights,_T,All visitors (overnight and same-day),HOTELS,Hotels and similar establishments,TSS,Tourism supply surveys,2017,,5504873,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_INTER@DF_INBOUND(1.0),Inbound tourism,I,BE2,Flemish Region,_Z,Not applicable,NIGHTS_ACCOM,Nights spent in tourism accommodation establishments,NGHT,Nights,_T,All visitors (overnight and same-day),HOTELS,Hotels and similar establishments,TSS,Tourism supply surveys,2018,,5787890,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_INTER@DF_INBOUND(1.0),Inbound tourism,I,BE2,Flemish Region,_Z,Not applicable,NIGHTS_ACCOM,Nights spent in tourism accommodation establishments,NGHT,Nights,_T,All visitors (overnight and same-day),HOTELS,Hotels and similar establishments,TSS,Tourism supply surveys,2019,,5784324,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_INTER@DF_INBOUND(1.0),Inbound tourism,I,BE2,Flemish Region,_Z,Not applicable,NIGHTS_ACCOM,Nights spent in tourism accommodation establishments,NGHT,Nights,_T,All visitors (overnight and same-day),HOTELS,Hotels and similar establishments,TSS,Tourism supply surveys,2020,,1735162,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_INTER@DF_INBOUND(1.0),Inbound tourism,I,BE2,Flemish Region,_Z,Not applicable,NIGHTS_ACCOM,Nights spent in tourism accommodation establishments,NGHT,Nights,_T,All visitors (overnight and same-day),HOTELS,Hotels and similar establishments,TSS,Tourism supply surveys,2021,,2154220,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_INTER@DF_INBOUND(1.0),Inbound tourism,I,BE2,Flemish Region,_Z,Not applicable,NIGHTS_ACCOM,Nights spent in tourism accommodation establishments,NGHT,Nights,_T,All visitors (overnight and same-day),HOTELS,Hotels and similar establishments,TSS,Tourism supply surveys,2022,,5172935,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_INTER@DF_INBOUND(1.0),Inbound tourism,I,BE3,Walloon Region,_Z,Not applicable,NIGHTS_ACCOM,Nights spent in tourism accommodation establishments,NGHT,Nights,_T,All visitors (overnight and same-day),HOTELS,Hotels and similar establishments,TSS,Tourism supply surveys,2008,,1405459,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_INTER@DF_INBOUND(1.0),Inbound tourism,I,BE3,Walloon Region,_Z,Not applicable,NIGHTS_ACCOM,Nights spent in tourism accommodation establishments,NGHT,Nights,_T,All visitors (overnight and same-day),HOTELS,Hotels and similar establishments,TSS,Tourism supply surveys,2009,,1297679,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_INTER@DF_INBOUND(1.0),Inbound tourism,I,BE3,Walloon Region,_Z,Not applicable,NIGHTS_ACCOM,Nights spent in tourism accommodation establishments,NGHT,Nights,_T,All visitors (overnight and same-day),HOTELS,Hotels and similar establishments,TSS,Tourism supply surveys,2010,,1363745,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_INTER@DF_INBOUND(1.0),Inbound tourism,I,BE3,Walloon Region,_Z,Not applicable,NIGHTS_ACCOM,Nights spent in tourism accommodation establishments,NGHT,Nights,_T,All visitors (overnight and same-day),HOTELS,Hotels and similar establishments,TSS,Tourism supply surveys,2011,,1415560,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_INTER@DF_INBOUND(1.0),Inbound tourism,I,BE3,Walloon Region,_Z,Not applicable,NIGHTS_ACCOM,Nights spent in tourism accommodation establishments,NGHT,Nights,_T,All visitors (overnight and same-day),HOTELS,Hotels and similar establishments,TSS,Tourism supply surveys,2012,,1399295,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_INTER@DF_INBOUND(1.0),Inbound tourism,I,BE3,Walloon Region,_Z,Not applicable,NIGHTS_ACCOM,Nights spent in tourism accommodation establishments,NGHT,Nights,_T,All visitors (overnight and same-day),HOTELS,Hotels and similar establishments,TSS,Tourism supply surveys,2013,,1343680,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_INTER@DF_INBOUND(1.0),Inbound tourism,I,BE3,Walloon Region,_Z,Not applicable,NIGHTS_ACCOM,Nights spent in tourism accommodation establishments,NGHT,Nights,_T,All visitors (overnight and same-day),HOTELS,Hotels and similar establishments,TSS,Tourism supply surveys,2014,,1376863,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_INTER@DF_INBOUND(1.0),Inbound tourism,I,BE3,Walloon Region,_Z,Not applicable,NIGHTS_ACCOM,Nights spent in tourism accommodation establishments,NGHT,Nights,_T,All visitors (overnight and same-day),HOTELS,Hotels and similar establishments,TSS,Tourism supply surveys,2016,,1229638,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_INTER@DF_INBOUND(1.0),Inbound tourism,I,BE3,Walloon Region,_Z,Not applicable,NIGHTS_ACCOM,Nights spent in tourism accommodation establishments,NGHT,Nights,_T,All visitors (overnight and same-day),HOTELS,Hotels and similar establishments,TSS,Tourism supply surveys,2017,,1355459,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_INTER@DF_INBOUND(1.0),Inbound tourism,I,BE3,Walloon Region,_Z,Not applicable,NIGHTS_ACCOM,Nights spent in tourism accommodation establishments,NGHT,Nights,_T,All visitors (overnight and same-day),HOTELS,Hotels and similar establishments,TSS,Tourism supply surveys,2018,,1382774,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_INTER@DF_INBOUND(1.0),Inbound tourism,I,BE3,Walloon Region,_Z,Not applicable,NIGHTS_ACCOM,Nights spent in tourism accommodation establishments,NGHT,Nights,_T,All visitors (overnight and same-day),HOTELS,Hotels and similar establishments,TSS,Tourism supply surveys,2019,,1373729,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_INTER@DF_INBOUND(1.0),Inbound tourism,I,BE3,Walloon Region,_Z,Not applicable,NIGHTS_ACCOM,Nights spent in tourism accommodation establishments,NGHT,Nights,_T,All visitors (overnight and same-day),HOTELS,Hotels and similar establishments,TSS,Tourism supply surveys,2020,,525543,,A,Normal value,A,Normal value,0,Units
